carType,color,condition,currency,drive,city,country,make,manufacture_year,mileage,mileage_unit,model,model_variant,price_on_request,type,zip,manufacture_month,fuel_consumption_unit
Convertible / Roadster,Grey,Used,null,RHD,2616 Zuzwil,CH,Mazda,1989,67200,kilometer,RX-7, 2.6 Turbo II,null,null,2616,8,
Limousine,Silver,Used,null,RHD,4806 Zuzwil,CH,Porsche,2010,35500,kilometer,PANAMERA, 4S 4.8,null,null,4806,5,l/100km
Other,Blue,Used,null,RHD,3586 Porrentruy,CH,Ferrari,2003,42500,kilometer,F360, Modena Berlinetta,null,null,3586,11,l/100km
Limousine,Silver,Used,null,RHD,4999 Zuzwil,CH,Bmw,2006,31500,kilometer,M5,M5,null,null,4999,6,l/100km
Other,Grey,Used,null,RHD,3387 Zuzwil,CH,Porsche,1999,47700,kilometer,911, Carrera 4,null,null,3387,11,l/100km
Convertible / Roadster,Grey,Used,null,RHD,5513 Zuzwil,CH,Mercedes-Benz,2004,20000,kilometer,SL 600,SL 600,null,null,5513,3,l/100km
Other,Grey,Used,null,RHD,5748 Zuzwil,CH,Ferrari,2004,45000,kilometer,612,612,null,null,5748,7,l/100km
Convertible / Roadster,Black,Used,null,RHD,5439 Zuzwil,CH,Mercedes-Benz,2008,500,kilometer,,CLK DTM AMG Cabriolet,null,null,5439,6,
Other,Black,Used,null,RHD,5748 Zuzwil,CH,Ferrari,2003,23100,kilometer,575M,575M,null,null,5748,1,l/100km
Other,Anthracite,Antique Car / Restored,null,RHD,3929 Zuzwil,CH,Lamborghini,1973,48000,kilometer,,Espada GT 400 Serie 3,null,null,3929,4,
Other,Black,Used,null,RHD,5204 St. Gallen,CH,Lamborghini,2014,1700,kilometer,GALLARDO,LP570-4CpéTecnica,null,null,5204,9,l/100km
Other,Blue,Used,null,RHD,3600 Zuzwil,CH,Porsche,2002,132600,kilometer,911, Turbo,null,null,3600,3,l/100km
Convertible / Roadster,Blue,Used,null,RHD,3800 Zuzwil,CH,Porsche,2009,52000,kilometer,911, Turbo Cabrio,null,null,3800,12,l/100km
Convertible / Roadster,Anthracite,Used,null,RHD,4973 Zuzwil,CH,Mercedes-Benz,1998,48300,kilometer,SL 500,SL 500,null,null,4973,4,l/100km
SUV,Silver,Used,null,RHD,4999 Zuzwil,CH,Land Rover,2010,9000,kilometer,RANGE ROVER, 5.0 V8 SC,null,null,4999,10,l/100km
Other,Gold,Used,null,RHD,3400 Zuzwil,CH,Ruf,1990,46000,kilometer,,CTR,null,null,3400,1,
Limousine,Silver,Used,null,RHD,1968 Zuzwil,CH,Vw,2009,33500,kilometer,JETTA, 2.0 TDI Comfort,null,null,1968,3,l/100km
Limousine,Grey,Used,null,RHD,3980 Zuzwil,CH,Bmw,1995,89200,kilometer,740,i,null,null,3980,11,
Convertible / Roadster,Silver,Used,null,RHD,4966 Zuzwil,CH,Mercedes-Benz,2002,19200,kilometer,SL 500,SL 500,null,null,4966,3,l/100km
Convertible / Roadster,Black,Used,null,RHD,5998 Zuzwil,CH,Bentley,2007,50900,kilometer,CONTINENTAL, GTC 6.0,null,null,5998,7,l/100km
Convertible / Roadster,Black,Used,null,RHD,4971 Zuzwil,CH,Mercedes-Benz,1992,129700,kilometer,SL 500,SL 500,null,null,4971,2,
Station Wagon,Black,Used,null,RHD,4172 Zuzwil,CH,Audi,2002,21400,kilometer,RS6, Avant quattro,null,null,4172,7,l/100km
Convertible / Roadster,Green,Used,null,RHD,6209 Zuzwil,CH,Mercedes-Benz,2008,62700,kilometer,SL 63 AMG,SL 63 AMG,null,null,6209,6,l/100km
SUV,Anthracite,Used,null,RHD,4511 Zuzwil,CH,Porsche,2003,121000,kilometer,CAYENNE, Turbo,null,null,4511,3,l/100km
Station Wagon,Silver,Used,null,RHD,4172 Zuzwil,CH,Audi,2003,34000,kilometer,RS6, Avant quattro,null,null,4172,3,l/100km
Limousine,Grey,Used,null,RHD,1994 Zuzwil,CH,Lancia,1992,155000,kilometer,DELTA, HF Integrale Evo,null,null,1994,2,
Other,Black,Used,null,RHD,2759 Zuzwil,CH,Toyota,1983,54100,kilometer,CELICA, 2800 i Supra,null,null,2759,3,
Limousine,Grey,Used,null,RHD,4196 Zuzwil,CH,Jaguar,2002,32900,kilometer,S-TYPE, 4.2 V8 S/C R,null,null,4196,7,l/100km
Convertible / Roadster,Black,Used,null,RHD,5439 Zuzwil,CH,Mercedes-Benz,2002,31200,kilometer,SL 55 AMG,SL 55 AMG,null,null,5439,4,l/100km
Station Wagon,Blue,Used,null,RHD,2671 Zuzwil,CH,Audi,2001,57500,kilometer,RS4, Avant quattro,null,null,2671,7,l/100km
